ball,metric,speed,club,value
Srixon SOFT FEEL,Total,fast,driver,313.14
Callaway Supersoft,Total,fast,driver,312.69
Pinnacle Rush,Total,fast,driver,314.53
Titleist TruFeel,Total,fast,driver,315.4
TaylorMade SpeedSoft,Total,fast,driver,316.58
Srixon Q-STAR ULTISPEED,Total,fast,driver,319.22
PXG Xtreme Tour,Total,fast,driver,325.3
Maxfli Tour S,Total,fast,driver,319.64
Titleist AVX,Total,fast,driver,319.58
Callaway ERC Soft,Total,fast,driver,321.2
Mizuno Pro X,Total,fast,driver,320.66
Callaway Chrome Tour X,Total,fast,driver,321.55
Callaway Chrome Tour Triple Diamond,Total,fast,driver,327.96
Mizuno Pro S,Total,fast,driver,321.09
Titleist Pro V1,Total,fast,driver,320.92
Bridgestone TOUR B RXS,Total,fast,driver,313.99
Titleist Pro V1x Left Dash,Total,fast,driver,322.0
TaylorMade Tour Response,Total,fast,driver,324.11
Callaway Chrome Tour,Total,fast,driver,320.47
Titleist Velocity,Total,fast,driver,321.75
Maxfli Tour,Total,fast,driver,319.91
Vice Pro,Total,fast,driver,320.13
Vice Pro Air,Total,fast,driver,315.19
Wilson Triad,Total,fast,driver,314.85
Bridgestone TOUR B RX,Total,fast,driver,315.83
Titleist Tour Soft,Total,fast,driver,324.26
PXG Xtreme Tour X,Total,fast,driver,320.27
Maxfli Tour X,Total,fast,driver,320.15
Callaway Chrome Soft,Total,fast,driver,318.58
Bridgestone TOUR B XS,Total,fast,driver,320.99
Bridgestone TOUR B X,Total,fast,driver,324.83
Srixon Q-STAR TOUR,Total,fast,driver,316.59
Kirkland Performance+ v3.5,Total,fast,driver,322.72
TaylorMade TP5x,Total,fast,driver,313.08
Titleist Pro V1x,Total,fast,driver,320.09
Wilson Staff Model,Total,fast,driver,321.6
Srixon Z-STAR XV,Total,fast,driver,324.09
Vice Pro Plus,Total,fast,driver,319.3
Srixon Z-STAR DIAMOND,Total,fast,driver,322.25
TaylorMade TP5,Total,fast,driver,310.66
Wilson Staff Model X,Total,fast,driver,317.73
Member's Mark Pro Series 2,Total,fast,driver,322.2
Srixon Z-STAR DIVIDE,Total,fast,driver,317.43
Srixon Z-STAR,Total,fast,driver,316.27
Srixon SOFT FEEL,Carry,fast,driver,272.04
Callaway Supersoft,Carry,fast,driver,274.68
Pinnacle Rush,Carry,fast,driver,276.77
Titleist TruFeel,Carry,fast,driver,281.93
TaylorMade SpeedSoft,Carry,fast,driver,281.42
